ID,Time,Title,Course ID
1020,MWF: 11:00AM-11:50AM,Elementary Italian I,ITAL-101-01
1942,MWF: 12:00PM-12:50PM,Elementary Italian I,ITAL-101-02
1021,MWF: 11:00AM-11:50AM,Elementary Italian II,ITAL-102-01
1793,MWF: 12:00PM-12:50PM,Elementary Italian II,ITAL-102-02
1022,MWF: 11:00AM-11:50AM,Inter Ital I:Conv & Comp,ITAL-201-01
2058,MWF: 11:00AM-11:50AM,Mafia,ITAL-272-01
2549,MW: 2:55PM-4:10PM,Italian Fascism & Antifascism,ITAL-275-01
1555,TBA,Independent Study,ITAL-399-01
1412,TBA,Teaching Assistant,ITAL-466-01
